hex_4000km,assessed_num,access_market_no_access,access_market_yes_always,access_market_yes_restricted,food_situation_worse,access_healthservices_no,access_healthservices_yes,available_health_services_clinic_no,available_health_services_clinic_yes,conflict_causes_water_dispute_no,conflict_causes_water_dispute_yes,protection_incidents_none_no,protection_incidents_none_yes,surfacewater_drinking_yes,education_available_none_no,education_available_none_yes,info_mainsource_radio_no,info_mainsource_radio_yes,conflict_causes_none_no,conflict_causes_none_yes
AA-50,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
AA-51,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0
AB-50,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0
AB-51,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0
AC-51,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0
AH-45,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0
AT-20,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1,0
AY-27,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0
G-44,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0
G-67,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0
I-43,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1
J-51,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0
J-52,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0
K-49,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1
K-51,1,0,1,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0
K-54,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0
K-60,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0
L-46,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0
L-50,2,0,0,0.5,1,1,0,0,0,1,0,0.5,0,0,1,0,0,0.5,0.5,0
L-51,3,0,0.666666667,0.333333333,0.666666667,0.666666667,0,0,0,1,0,0.333333333,0,0,1,0,0.333333333,0.666666667,1,0
M-41,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0
M-44,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1
M-47,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0
M-50,2,0,0,1,1,1,0,0,0,1,0,1,0,0,0.5,0.5,0.5,0.5,1,0
M-51,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0
M-52,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0
M-56,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0
N-43,2,0,0,0.5,0,0.5,0.5,0.5,0,1,0,1,0,0.5,1,0,0,1,1,0
N-45,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0
N-47,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0
N-48,4,0,0,0.75,0,0.75,0.25,0.25,0,1,0,0.75,0.25,0,1,0,0,0.75,0.5,0.25
N-49,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0
N-50,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0
O-42,3,0,0.333333333,0.333333333,0,1,0,0,0,1,0,1,0,0,1,0,0.333333333,0.333333333,1,0
O-43,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0
O-44,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
O-45,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0
O-46,2,0,0,1,0.5,1,0,0,0,0.5,0.5,0.5,0.5,0.5,1,0,0,1,1,0
O-47,6,0,0.166666667,0.833333333,0.5,1,0,0,0,0.833333333,0.166666667,1,0,0,0.833333333,0.166666667,0.666666667,0.333333333,0.833333333,0.166666667
O-48,4,0,0.25,0.75,0.75,0.5,0.5,0.5,0,1,0,0.75,0.25,0,1,0,0.25,0.75,0.5,0.5
O-49,2,0,0,1,0.5,1,0,0,0,1,0,0.5,0.5,0,1,0,0,1,0.5,0.5
P-42,2,0,0,1,0.5,1,0,0,0,1,0,1,0,0,1,0,0,1,0.5,0.5
P-45,2,0,0,1,0.5,0.5,0.5,0.5,0,1,0,0.5,0.5,0.5,1,0,0,1,0.5,0
P-47,18,0,0.222222222,0.666666667,0.5,0.888888889,0.055555556,0.055555556,0,0.888888889,0.111111111,0.833333333,0.166666667,0.277777778,1,0,0.277777778,0.611111111,0.888888889,0.111111111
P-48,14,0,0.285714286,0.642857143,0.5,0.857142857,0.142857143,0.071428571,0.071428571,0.857142857,0.142857143,0.857142857,0.071428571,0,1,0,0.142857143,0.785714286,0.785714286,0.142857143
P-49,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1
P-51,2,0,1,0,0.5,0.5,0.5,0,0.5,1,0,0,1,0,1,0,0,1,0,1
Q-45,1,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0
Q-46,2,0,0,1,0,0.5,0.5,0.5,0,1,0,0,0.5,0.5,1,0,0,1,0.5,0.5
Q-47,3,0,0.333333333,0.666666667,0.333333333,1,0,0,0,1,0,0.666666667,0.333333333,0,1,0,0.333333333,0.666666667,0.666666667,0
R-42,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
R-43,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1,1,0
R-45,2,0,0,1,0.5,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0
R-49,2,0,0,1,0.5,1,0,0,0,1,0,1,0,0.5,0.5,0,0,0.5,0.5,0.5
R-50,1,0,1,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0
S-42,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0
S-43,2,0,0,1,0,0.5,0.5,0.5,0,1,0,1,0,0,1,0,0,1,0.5,0.5
S-48,5,0,0.6,0.4,0.6,0.2,0.8,0.2,0.6,0.4,0.2,0.4,0.4,0,0.8,0.2,0.2,0.6,0.6,0.2
S-49,2,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1
S-50,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0
T-48,2,0,0.5,0.5,0,0.5,0.5,0,0.5,1,0,0.5,0.5,0,1,0,0,1,0,1
T-49,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1
T-50,1,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1
T-56,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0
T-57,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0
U-43,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0
U-48,2,0,0,1,0,0.5,0.5,0.5,0,1,0,1,0,0,1,0,0,1,0.5,0.5
V-55,2,0,1,0,0.5,0.5,0.5,0,0.5,0.5,0.5,1,0,0,1,0,0.5,0.5,1,0
W-43,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0
W-50,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0
W-52,2,0,0.5,0,1,0.5,0,0,0,1,0,1,0,0,1,0,0,1,1,0
W-54,19,0.052631579,0.894736842,0,0.578947368,0.210526316,0.684210526,0.578947368,0.105263158,0.5,0.277777778,0.6875,0.1875,0,1,0,0.111111111,0.888888889,0.833333333,0.055555556
W-55,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0
X-51,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0
X-53,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0
X-54,3,0,0.666666667,0,0.666666667,0,0.666666667,0.666666667,0,0,0.5,1,0,0,1,0,0,1,1,0
X-55,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0
Y-51,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0
Z-52,2,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0,1,0,1,0,0,1,1,0
Z-53,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0
